Rank,University,Country,Article,Citation,Total Document,AIT,CIT,Collaboration,Total
99,University of Montreal,CANADA,92.63,99.4,46.85,87.05,71.16,71.42,468.51
100,Tongji University,CHINA MAINLAND,103.44,98.73,46.42,86.97,69.05,62.99,467.59
101,University of Birmingham,ENGLAND,89.24,100.75,46.19,87.47,73.74,70.04,467.42
102,University of Illinois Urbana-Champaign,USA,94.3,101.47,47.03,86.54,70.61,66.76,466.71
103,Southeast University - China,CHINA MAINLAND,102.54,98.09,46.51,87.64,69.6,61.29,465.66
104,Aix-Marseille Universite,FRANCE,91.51,99.94,46.03,86.07,70.83,71.0,465.38
105,Jilin University,CHINA MAINLAND,104.18,99.75,47.52,86.86,68.04,58.93,465.28
106,University of Milan,ITALY,93.2,100.08,46.36,85.81,70.85,68.97,465.27
107,Radboud University Nijmegen,NETHERLANDS,88.9,100.76,44.92,87.21,73.09,70.27,465.16
108,University of Bologna,ITALY,92.65,99.44,46.26,85.76,71.46,69.29,464.86
109,Uppsala University,SWEDEN,90.72,99.7,44.89,86.6,71.92,70.94,464.78
110,Texas A&M University College Station,USA,98.21,98.62,47.43,84.51,67.01,68.3,464.07
111,South China University of Technology,CHINA MAINLAND,99.76,100.6,44.8,88.75,72.68,57.11,463.71
112,King Abdulaziz University,SAUDI ARABIA,88.37,101.03,41.6,86.35,74.42,71.1,462.86
113,University of Western Australia,AUSTRALIA,89.54,99.77,44.66,85.9,71.23,69.9,460.99
114,University of Maryland College Park,USA,89.82,101.19,45.32,86.38,71.73,65.64,460.08
115,University of Calgary,CANADA,90.02,98.01,45.47,85.28,70.73,69.43,458.95
116,University of Southampton,ENGLAND,86.34,99.42,44.65,86.14,72.21,69.91,458.66
117,Universite Grenoble Alpes (UGA),FRANCE,91.09,98.25,45.35,84.03,68.94,70.76,458.41
118,University of Bristol,ENGLAND,87.82,99.75,44.87,85.6,71.85,68.31,458.2
119,Charite Medical University of Berlin,GERMANY (FED REP GER),85.49,99.3,44.36,86.19,73.75,68.68,457.76
120,University of Hong Kong,HONG KONG,91.41,99.01,44.4,86.29,71.76,64.87,457.74
121,Boston University,USA,88.57,99.64,45.66,86.86,72.32,63.63,456.69
122,University of Bern,SWITZERLAND,88.4,97.81,44.15,83.7,69.97,71.08,455.1
123,Tel Aviv University,ISRAEL,91.76,97.06,45.51,84.24,68.13,68.19,454.89
124,Universidade de Lisboa,PORTUGAL,92.69,96.02,46.4,82.27,66.18,71.06,454.62
125,University of Utah,USA,91.94,98.52,46.37,84.96,69.27,62.76,453.83
126,Yonsei University,SOUTH KOREA,97.57,96.9,46.18,84.64,67.21,61.21,453.71
127,Rutgers State University New Brunswick,USA,91.67,98.09,46.99,83.88,67.57,65.31,453.51
128,California Institute of Technology,USA,84.76,101.81,41.86,85.48,74.96,64.43,453.3
129,Autonomous University of Barcelona,SPAIN,90.81,97.09,44.67,83.47,68.24,68.95,453.23
130,University of Arizona,USA,90.19,98.06,45.89,84.24,69.18,65.19,452.75
131,University of Nottingham,ENGLAND,88.35,97.32,44.93,83.73,69.2,68.75,452.29
132,McMaster University,CANADA,84.82,98.32,44.41,84.88,71.95,67.79,452.16
133,University of Geneva,SWITZERLAND,84.79,98.48,43.14,84.02,71.51,70.0,451.93
134,Georgia Institute of Technology,USA,86.24,99.44,44.02,85.16,71.99,64.61,451.46
