rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,subjects_offered,year
Reporter,Gomel State Medical University,,1000173,,0,,0,,0,,0,,0,Belarus,"3,642",8.5,20%,"Medicine & Dentistry,Other Health,Biological Sciences",2023
Reporter,Government College Women University Faisalabad,,1000174,,0,,0,,0,,0,,0,Pakistan,"14,424",56.3,0%,"Computer Science,Geography,Veterinary Science,Languages, Literature & Linguistics,Physics & Astronomy,Art, Performing Arts & Design,Education,History, Philosophy & Theology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Biological Sciences,Agriculture & Forestry,Psychology,Accounting & Finance,Mathematics & Statistics,Business & Management,Chemistry,Sociology,Sport Science",2023
Reporter,"Government College Women University, Sialkot",,1000175,,0,,0,,0,,0,,0,Pakistan,"7,023",34.8,0%,"Education,Art, Performing Arts & Design,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Computer Science,Business & Management,Accounting & Finance,Psychology,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Sociology,Chemistry,Economics & Econometrics,Languages, Literature & Linguistics,Physics & Astronomy",2023
Reporter,"The Graduate University for Advanced Studies, SOKENDAI",,1000176,,0,,0,,0,,0,,0,Japan,506,0.4,31%,"History, Philosophy & Theology,Languages, Literature & Linguistics,Chemistry,Art, Performing Arts & Design,Sociology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Mechanical & Aerospace Engineering,Communication & Media Studies,Archaeology,General Engineering,Physics & Astronomy,Agriculture & Forestry,Biological Sciences,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Computer Science,Chemical Engineering,Geography",2023
Reporter,Greenwich University,,1000177,,0,,0,,0,,0,,0,Pakistan,"1,261",15.6,3%,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Business & Management,Languages, Literature & Linguistics,Education,Economics & Econometrics",2023
Reporter,Gregory University Uturu,,1000178,,0,,0,,0,,0,,0,Nigeria,"2,025",7.3,0%,"Other Health,Mechanical & Aerospace Engineering,Sociology,Politics & International Studies (incl Development Studies),Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,General Engineering,Chemical Engineering,Accounting & Finance,Physics & Astronomy,Civil Engineering,Education,Agriculture & Forestry,Computer Science,Law,Languages, Literature & Linguistics,Mathematics & Statistics,Chemistry,Art, Performing Arts & Design,History, Philosophy & Theology,Biological Sciences",2023
Reporter,Grodno State Medical University,,1000179,,0,,0,,0,,0,,0,Belarus,"4,700",8.4,26%,"Other Health,Biological Sciences",2023
Reporter,Guildhall School of Music and Drama,,1000180,,0,,0,,0,,0,,0,United Kingdom,995,5.2,34%,"Art, Performing Arts & Design",2023
Reporter,Gulf College,,1000181,,0,,0,,0,,0,,0,Oman,"2,780",27.5,3%,"Business & Management,Computer Science,Accounting & Finance,Economics & Econometrics",2023
Reporter,Harper Adams University,,1000182,,0,,0,,0,,0,,0,United Kingdom,"2,195",13.3,11%,"Biological Sciences,Mechanical & Aerospace Engineering,Veterinary Science,Business & Management,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry",2023
Reporter,Hartpury University,,1000183,,0,,0,,0,,0,,0,United Kingdom,"1,655",23.6,10%,"Veterinary Science,Business & Management,Agriculture & Forestry,Sport Science",2023
Reporter,Hassiba Benbouali University of Chlef,,1000184,,0,,0,,0,,0,,0,Algeria,"30,121",22.3,1%,"Physics & Astronomy,Electrical & Electronic Engineering,Archaeology,Chemistry,Sociology,Business & Management,Law,Chemical Engineering,Mathematics & Statistics,History, Philosophy & Theology,Agriculture & Forestry,Geography,Economics & Econometrics,Sport Science,Accounting & Finance,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Psychology,Biological Sciences,Computer Science,Civil Engineering,Geology, Environmental, Earth & Marine Sciences",2023
Reporter,Hawler Medical University,,1000185,,0,,0,,0,,0,,0,Iraq,"4,152",7.2,1%,"Other Health,Chemistry,Biological Sciences,Medicine & Dentistry",2023
Reporter,University of Health and Allied Sciences,,1000186,,0,,0,,0,,0,,0,Ghana,"6,445",23.5,0%,"Medicine & Dentistry,Sport Science,Chemistry,Other Health,Biological Sciences,Mathematics & Statistics",2023
Reporter,"University of Health Sciences, Turkey",,1000187,,0,,0,,0,,0,,0,Turkey,"21,322",9.0,5%,"Medicine & Dentistry,Other Health",2023
Reporter,University of the Highlands and Islands,,1000188,,0,,0,,0,,0,,0,United Kingdom,"7,200",130.9,12%,"Psychology,Mechanical & Aerospace Engineering,Architecture,History, Philosophy & Theology,Law,Business & Management,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Civil Engineering,Sociology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Economics & Econometrics,Biological Sciences,Chemistry,Other Health,Education,Accounting & Finance,General Engineering,Politics & International Studies (incl Development Studies),Computer Science,Sport Science,Art, Performing Arts & Design,Agriculture & Forestry",2023
Reporter,Hindustan Institute of Technology and Science,,1000189,,0,,0,,0,,0,,0,India,"6,033",12.1,1%,"Accounting & Finance,Electrical & Electronic Engineering,Business & Management,Architecture,Mechanical & Aerospace Engineering,Chemical Engineering,Computer Science,Communication & Media Studies,Languages, Literature & Linguistics,Law,Civil Engineering",2023
Reporter,Hiroshima Shudo University,,1000190,,0,,0,,0,,0,,0,Japan,"4,776",16.6,0%,"Psychology,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Economics & Econometrics,Languages, Literature & Linguistics,Sociology,Business & Management,Education,Law,Other Health",2023
Reporter,Hiroshima Institute of Technology,,1000191,,0,,0,,0,,0,,0,Japan,"4,628",25.4,0%,"Biological Sciences,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science",2023
Reporter,Hitotsubashi University,,1000192,,0,,0,,0,,0,,0,Japan,"6,212",17.0,15%,"Psychology,Accounting & Finance,Politics & International Studies (incl Development Studies),Physics & Astronomy,Languages, Literature & Linguistics,Biological Sciences,Law,Education,Mathematics & Statistics,Geography,Sport Science,Geology, Environmental, Earth & Marine Sciences,Other Health,History, Philosophy & Theology,Communication & Media Studies,Economics & Econometrics,Computer Science,Agriculture & Forestry,Art, Performing Arts & Design,Business & Management,Medicine & Dentistry,Sociology",2023
Reporter,Huachiew Chalermprakiet University,,1000193,,0,,0,,0,,0,,0,Thailand,"7,297",16.0,7%,"Sociology,Agriculture & Forestry,Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Biological Sciences,Computer Science,Business & Management,Law,Other Health",2023
Reporter,University of Human Development,,1000194,,0,,0,,0,,0,,0,Iraq,"2,583",17.1,3%,"Computer Science,Communication & Media Studies,Business & Management,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Other Health,Medicine & Dentistry,Law,Accounting & Finance",2023
Reporter,Hyogo University of Teacher Education,,1000195,,0,,0,,0,,0,,0,Japan,"1,161",8.0,2%,"Education,Psychology",2023
Reporter,IFHE Hyderabad,,1000196,,0,,0,,0,,0,,0,India,"6,931",20.3,0%,"Electrical & Electronic Engineering,Physics & Astronomy,Business & Management,Mechanical & Aerospace Engineering,Civil Engineering,Economics & Econometrics,Mathematics & Statistics,Computer Science,Chemistry,Architecture,Law",2023
Reporter,Ignatius Ajuru University of Education,,1000197,,0,,0,,0,,0,,0,Nigeria,"29,785",75.2,0%,"Biological Sciences,History, Philosophy & Theology,Education,Business & Management,Languages, Literature & Linguistics,Computer Science,Agriculture & Forestry,Art, Performing Arts & Design,Geography,Chemistry,Politics & International Studies (incl Development Studies),Other Health,Accounting & Finance,Physics & Astronomy,Sociology,Mathematics & Statistics,Economics & Econometrics",2023
Reporter,Ilma University,,1000198,,0,,0,,0,,0,,0,Pakistan,"4,107",22.4,0%,"Business & Management,Computer Science,Communication & Media Studies",2023
Reporter,IMT Mines Alès,,1000199,,0,,0,,0,,0,,0,France,"1,425",12.8,15%,"General Engineering,Medicine & Dentistry,Electrical & Electronic Engineering,Computer Science,Other Health,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Chemistry,Chemical Engineering",2023
Reporter,Indira Gandhi Delhi Technical University for Women,,1000200,,0,,0,,0,,0,,0,India,"3,673",53.2,0%,"Architecture,Electrical & Electronic Engineering,Business & Management,General Engineering,Computer Science",2023
Reporter,Innopolis University,,1000201,,0,,0,,0,,0,,0,Russian Federation,823,15.8,32%,Computer Science,2023
Reporter,Institute of Cancer Research,,1000202,,0,,0,,0,,0,,0,United Kingdom,195,2.8,33%,"Biological Sciences,Medicine & Dentistry",2023
Reporter,International Christian University,,1000203,,0,,0,,0,,0,,0,Japan,"2,913",12.6,11%,"Computer Science,History, Philosophy & Theology,Physics & Astronomy,Mathematics & Statistics,Education,Communication & Media Studies,Economics & Econometrics,Politics & International Studies (incl Development Studies),Sociology,Psychology,Business & Management,Law,Languages, Literature & Linguistics,Art, Performing Arts & Design,Chemistry,Geology, Environmental, Earth & Marine Sciences,Biological Sciences",2023
Reporter,International University of Rabat,,1000204,,0,,0,,0,,0,,0,Morocco,"5,830",33.3,2%,"Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Law,General Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Computer Science,Sociology,Sport Science,Architecture,Other Health,Economics & Econometrics,Physics & Astronomy,History, Philosophy & Theology,Medicine & Dentistry,Communication & Media Studies",2023
Reporter,Ionian University,,1000205,,0,,0,,0,,0,,0,Greece,"8,169",41.9,3%,"Communication & Media Studies,Business & Management,Art, Performing Arts & Design,Sociology,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,History, Philosophy & Theology,Computer Science",2023
Reporter,Ion Mincu University of Architecture and Urbanism,,1000206,,0,,0,,0,,0,,0,Romania,"3,173",12.8,4%,Architecture,2023
Reporter,Islamia College Peshawar,,1000207,,0,,0,,0,,0,,0,Pakistan,"6,732",25.5,3%,"Archaeology,Electrical & Electronic Engineering,Sociology,Economics & Econometrics,Psychology,Education,Computer Science,Physics & Astronomy,Law,Accounting & Finance,Biological Sciences,Languages, Literature & Linguistics,Chemistry,History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Politics & International Studies (incl Development Studies),Other Health,Geography",2023
Reporter,The Islamic University,,1000208,,0,,0,,0,,0,,0,Iraq,"4,152",9.1,2%,"Medicine & Dentistry,Law,Sport Science,Civil Engineering,Languages, Literature & Linguistics,Computer Science,Other Health,Education,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering",2023
Reporter,Islamic University of Gaza,,1000209,,0,,0,,0,,0,,0,Palestine,"17,058",47.0,1%,"Business & Management,Biological Sciences,Psychology,Other Health,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Accounting & Finance,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Computer Science,Communication & Media Studies,Geography,Architecture,Civil Engineering,Archaeology,Electrical & Electronic Engineering,Sociology,History, Philosophy & Theology,Education,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Mathematics & Statistics,Law,Chemistry,Medicine & Dentistry",2023
Reporter,Islamic University of Madinah,,1000210,,0,,0,,0,,0,,0,Saudi Arabia,"11,703",7.7,75%,"Communication & Media Studies,Law,Chemical Engineering,Mathematics & Statistics,Chemistry,Mechanical & Aerospace Engineering,Computer Science,Psychology,General Engineering,Business & Management,Physics & Astronomy,History, Philosophy & Theology,Education,Civil Engineering,Languages, Literature & Linguistics,Sociology,Electrical & Electronic Engineering,Art, Performing Arts & Design",2023
Reporter,Isra University,,1000211,,0,,0,,0,,0,,0,Jordan,"4,864",19.6,18%,"Mathematics & Statistics,Education,Civil Engineering,Business & Management,Computer Science,Chemistry,Economics & Econometrics,Physics & Astronomy,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Other Health,Accounting & Finance,General Engineering,Law,Mechanical & Aerospace Engineering",2023
Reporter,Israel Technological University,,1000212,,0,,0,,0,,0,,0,Ecuador,"3,070",34.9,1%,"Electrical & Electronic Engineering,Computer Science,Psychology,Accounting & Finance,Business & Management,General Engineering,Education,Art, Performing Arts & Design",2023
Reporter,Istanbul Aydın University,,1000213,,0,,0,,0,,0,,0,Turkey,"27,826",27.9,13%,"Sport Science,Medicine & Dentistry,Languages, Literature & Linguistics,Communication & Media Studies,Politics & International Studies (incl Development Studies),Chemical Engineering,Architecture,Business & Management,Psychology,Economics & Econometrics,Physics & Astronomy,Accounting & Finance,Civil Engineering,Art, Performing Arts & Design,Law,Electrical & Electronic Engineering,History, Philosophy & Theology,Education,Mechanical & Aerospace Engineering,Sociology,Other Health,Mathematics & Statistics,Computer Science",2023
Reporter,Istanbul Gelişim University,,1000214,,0,,0,,0,,0,,0,Turkey,"18,774",23.4,15%,"Sport Science,Computer Science",2023
Reporter,IUBAT – International University of Business Agriculture and Technology,,1000215,,0,,0,,0,,0,,0,Bangladesh,"6,435",22.1,1%,"Accounting & Finance,Business & Management,Languages, Literature & Linguistics,Agriculture & Forestry,Economics & Econometrics,Mechanical & Aerospace Engineering,Civil Engineering,Computer Science,Electrical & Electronic Engineering,Other Health",2023
Reporter,Universita IULM,,1000216,,0,,0,,0,,0,,0,Italy,"7,841",15.9,7%,"Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Communication & Media Studies,Business & Management",2023
Reporter,Ivanovo State University,,1000217,,0,,0,,0,,0,,0,Russian Federation,"2,990",15.2,14%,"Computer Science,Economics & Econometrics,Politics & International Studies (incl Development Studies),Law,Accounting & Finance,Psychology,Education,Business & Management,Communication & Media Studies,History, Philosophy & Theology,Chemistry,Sport Science,Languages, Literature & Linguistics,Mathematics & Statistics,Sociology",2023
Reporter,Jabir ibn Hayyan Medical University,,1000218,,0,,0,,0,,0,,0,Iraq,"1,532",16.1,0%,"Other Health,Medicine & Dentistry",2023
Reporter,Japan Advanced Institute of Science and Technology (JAIST),,1000219,,0,,0,,0,,0,,0,Japan,"1,218",7.8,42%,"Chemistry,Chemical Engineering,Computer Science,Sociology,Biological Sciences,Languages, Literature & Linguistics,Physics & Astronomy,General Engineering,Electrical & Electronic Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences",2023
Reporter,Jashore University of Science and Technology,,1000220,,0,,0,,0,,0,,0,Bangladesh,"4,741",20.1,0%,"Electrical & Electronic Engineering,Other Health,Chemical Engineering,Mechanical & Aerospace Engineering,Mathematics & Statistics,Physics & Astronomy,General Engineering,Computer Science,Agriculture & Forestry,Accounting & Finance,Sport Science,Chemistry,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Business & Management",2023
Reporter,Jerash Private University,,1000221,,0,,0,,0,,0,,0,Jordan,"3,362",18.0,31%,"Architecture,Law,Education,Other Health,Computer Science,Accounting & Finance,Electrical & Electronic Engineering,Biological Sciences,Business & Management,Languages, Literature & Linguistics,Agriculture & Forestry,Civil Engineering",2023
Reporter,University of Jijel,,1000222,,0,,0,,0,,0,,0,Algeria,"21,228",20.2,0%,"Law,Biological Sciences,Psychology,Chemistry,Civil Engineering,Sport Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Chemical Engineering,Architecture,Languages, Literature & Linguistics,Mathematics & Statistics,Sociology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Economics & Econometrics,Electrical & Electronic Engineering",2023
Reporter,University of Jos,,1000223,,0,,0,,0,,0,,0,Nigeria,"37,885",23.4,0%,"Chemistry,Accounting & Finance,General Engineering,Computer Science,Agriculture & Forestry,Sport Science,Languages, Literature & Linguistics,Business & Management,Veterinary Science,History, Philosophy & Theology,Electrical & Electronic Engineering,Physics & Astronomy,Biological Sciences,Art, Performing Arts & Design,Mathematics & Statistics,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Other Health,Architecture,Civil Engineering,Education,Archaeology,Law,Psychology",2023
Reporter,Kabardino-Balkarian State University,,1000224,,0,,0,,0,,0,,0,Russian Federation,"11,201",19.6,13%,"Archaeology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Computer Science,Psychology,Sport Science,Art, Performing Arts & Design,Electrical & Electronic Engineering,History, Philosophy & Theology,Civil Engineering,Other Health,Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Law,Accounting & Finance,Education,Biological Sciences,Mathematics & Statistics,Geography,Medicine & Dentistry,Sociology,General Engineering,Chemistry,Physics & Astronomy",2023
Reporter,Kamianets-Podіlskyi Ivan Ohiienko National University,,1000225,,0,,0,,0,,0,,0,Ukraine,"2,944",7.8,0%,"History, Philosophy & Theology,Mathematics & Statistics,Education,Sport Science,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Other Health,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Biological Sciences,Physics & Astronomy,Business & Management,Communication & Media Studies,Economics & Econometrics,Geography,Computer Science,Accounting & Finance,Psychology",2023
Reporter,Kampala International University,,1000226,,0,,0,,0,,0,,0,Uganda,"23,800",7.0,30%,"Other Health,General Engineering,Communication & Media Studies,Psychology,Sport Science,Education,Electrical & Electronic Engineering,Accounting & Finance,Law,Computer Science,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Business & Management,Chemistry,Veterinary Science,Economics & Econometrics,Medicine & Dentistry,Mathematics & Statistics,Biological Sciences,Civil Engineering,Agriculture & Forestry",2023
Reporter,Karaganda University of Kazpotrebsoyuz,,1000227,,0,,0,,0,,0,,0,Kazakhstan,"5,076",13.3,1%,"Geology, Environmental, Earth & Marine Sciences,Computer Science,Education,Business & Management,Politics & International Studies (incl Development Studies),Law,Accounting & Finance",2023
Reporter,Karshi State University,,1000228,,0,,0,,0,,0,,0,Uzbekistan,"13,909",21.0,0%,"Mathematics & Statistics,Sociology,Medicine & Dentistry,Education,Languages, Literature & Linguistics,Sport Science,Computer Science,Physics & Astronomy,Business & Management,History, Philosophy & Theology,Agriculture & Forestry,Chemistry,Psychology",2023
Reporter,Kastamonu University,,1000229,,0,,0,,0,,0,,0,Turkey,"17,597",41.0,15%,"Accounting & Finance,Communication & Media Studies,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Education,Agriculture & Forestry,Sport Science,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Sociology,Civil Engineering,History, Philosophy & Theology,Veterinary Science,Business & Management,Psychology,General Engineering,Chemistry,Languages, Literature & Linguistics,Biological Sciences,Mathematics & Statistics,Art, Performing Arts & Design,Electrical & Electronic Engineering",2023
Reporter,Kazakh National Pedagogical University Abai,,1000230,,0,,0,,0,,0,,0,Kazakhstan,"13,479",12.6,2%,"Accounting & Finance,Biological Sciences,Law,Psychology,Art, Performing Arts & Design,Mathematics & Statistics,Geography,Politics & International Studies (incl Development Studies),Chemistry,Languages, Literature & Linguistics,Economics & Econometrics,Computer Science,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Business & Management,Education",2023
Reporter,Kazan State Power Engineering University,,1000231,,0,,0,,0,,0,,0,Russian Federation,"9,440",24.6,3%,"Education,General Engineering,Computer Science,Electrical & Electronic Engineering,Communication & Media Studies,Biological Sciences,Business & Management,Physics & Astronomy",2023
Reporter,University of Kelaniya,,1000232,,0,,0,,0,,0,,0,Sri Lanka,"17,082",17.1,3%,"Business & Management,Other Health,Chemistry,Biological Sciences,Physics & Astronomy,Art, Performing Arts & Design,Accounting & Finance,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Economics & Econometrics,Computer Science,Languages, Literature & Linguistics,Sociology,Medicine & Dentistry,History, Philosophy & Theology,Psychology,Sport Science,Communication & Media Studies,Archaeology,Geography",2023
Reporter,University of Kerbala,,1000233,,0,,0,,0,,0,,0,Iraq,"20,327",16.5,0%,"Mechanical & Aerospace Engineering,Education,Economics & Econometrics,Agriculture & Forestry,General Engineering,History, Philosophy & Theology,Languages, Literature & Linguistics,Biological Sciences,Other Health,Electrical & Electronic Engineering,Veterinary Science,Civil Engineering,Physics & Astronomy,Computer Science,Mathematics & Statistics,Medicine & Dentistry,Psychology,Business & Management,Sport Science,Chemistry,Accounting & Finance,Law,Geography",2023
Reporter,Kermanshah University of Technology,,1000234,,0,,0,,0,,0,,0,Iran,"2,251",13.6,0%,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Physics & Astronomy,Computer Science",2023
Reporter,Kharkiv University of Humanities “People’s Ukrainian Academy”,,1000235,,0,,0,,0,,0,,0,Ukraine,455,5.5,1%,"Languages, Literature & Linguistics,Business & Management,Sociology,Communication & Media Studies",2023
Reporter,Kadir Has University,,1000236,,0,,0,,0,,0,,0,Turkey,"4,896",23.5,3%,"Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Accounting & Finance,Psychology,Business & Management,Biological Sciences,Art, Performing Arts & Design,Communication & Media Studies,Architecture,Politics & International Studies (incl Development Studies),Economics & Econometrics,Law,Computer Science",2023
Reporter,Khazar University,,1000236,,0,,0,,0,,0,,0,Azerbaijan,"2,610",11.3,7%,"Psychology,Chemical Engineering,General Engineering,Mathematics & Statistics,Geography,Economics & Econometrics,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Biological Sciences,Business & Management,Chemistry,Civil Engineering,Accounting & Finance,Veterinary Science,History, Philosophy & Theology,Education,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Physics & Astronomy,Electrical & Electronic Engineering",2023
Reporter,Khomein University of Medical Sciences,,1000237,,0,,0,,0,,0,,0,Iran,782,31.3,0%,"Education,Other Health",2023
Reporter,Khulna University,,1000238,,0,,0,,0,,0,,0,Bangladesh,"5,921",11.8,0%,"Communication & Media Studies,Architecture,Geology, Environmental, Earth & Marine Sciences,Chemistry,History, Philosophy & Theology,Computer Science,Mathematics & Statistics,Languages, Literature & Linguistics,Biological Sciences,Education,Politics & International Studies (incl Development Studies),Business & Management,Physics & Astronomy,Law,Sociology,Art, Performing Arts & Design,Agriculture & Forestry,Economics & Econometrics,Electrical & Electronic Engineering",2023
Reporter,Khwaja Fareed University of Engineering and Information Technology,,1000239,,0,,0,,0,,0,,0,Pakistan,"10,713",21.6,0%,"Civil Engineering,Physics & Astronomy,Economics & Econometrics,Agriculture & Forestry,Electrical & Electronic Engineering,Communication & Media Studies,History, Philosophy & Theology,Computer Science,Sport Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Law,Biological Sciences,Chemical Engineering,Psychology,Chemistry,Business & Management,Art, Performing Arts & Design,Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Education,Mechanical & Aerospace Engineering,Mathematics & Statistics",2023
Reporter,Khyber Medical University,,1000240,,0,,0,,0,,0,,0,Pakistan,"4,364",16.5,3%,"Other Health,Medicine & Dentistry",2023
Reporter,Kings University,,1000241,,0,,0,,0,,0,,0,Nigeria,132,3.3,0%,"Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Business & Management,Accounting & Finance,Communication & Media Studies,Sociology,Biological Sciences,Economics & Econometrics,Computer Science",2023
Reporter,University of Kirkuk,,1000242,,0,,0,,0,,0,,0,Iraq,"22,867",24.8,0%,"Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Other Health,Physics & Astronomy,Education,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,History, Philosophy & Theology,Electrical & Electronic Engineering,Sport Science,Business & Management,Geography,Agriculture & Forestry,Mechanical & Aerospace Engineering,Mathematics & Statistics,Medicine & Dentistry,Psychology,Civil Engineering,Veterinary Science,Economics & Econometrics,Law,Politics & International Studies (incl Development Studies)",2023
Reporter,Kitami Institute of Technology,,1000243,,0,,0,,0,,0,,0,Japan,"1,965",14.1,4%,"General Engineering,Agriculture & Forestry,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Civil Engineering,Electrical & Electronic Engineering,Biological Sciences",2023
Reporter,Kobe City University of Foreign Studies,,1000244,,0,,0,,0,,0,,0,Japan,"2,287",15.3,4%,"Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics",2023
Reporter,Kobe Gakuin University,,1000245,,0,,0,,0,,0,,0,Japan,"11,557",34.3,2%,"Other Health,Communication & Media Studies,History, Philosophy & Theology,Economics & Econometrics,Languages, Literature & Linguistics,Accounting & Finance,Sociology,Geography,Art, Performing Arts & Design,Business & Management,Politics & International Studies (incl Development Studies),Law,Psychology",2023
Reporter,Kocaeli Health and Technology University,,1000246,,0,,0,,0,,0,,0,Turkey,"2,784",31.6,4%,"Electrical & Electronic Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Computer Science,Chemical Engineering,Art, Performing Arts & Design,Civil Engineering,Psychology,Other Health,History, Philosophy & Theology,Education,Agriculture & Forestry,Languages, Literature & Linguistics,Chemistry,Business & Management,Politics & International Studies (incl Development Studies),General Engineering,Medicine & Dentistry",2023
Reporter,Kokshetau State University,,1000247,,0,,0,,0,,0,,0,Kazakhstan,"7,047",11.3,5%,Other Health,2023
Reporter,Konan Women’s University,,1000248,,0,,0,,0,,0,,0,Japan,"4,416",24.7,1%,"Sociology,Psychology,Other Health,Languages, Literature & Linguistics,Education,Communication & Media Studies",2023
Reporter,Konya Technical University,,1000249,,0,,0,,0,,0,,0,Turkey,"13,016",30.1,4%,"Civil Engineering,Art, Performing Arts & Design,General Engineering,Computer Science,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Architecture",2023
Reporter,KTO Karatay University,,1000250,,0,,0,,0,,0,,0,Turkey,"8,370",26.2,3%,"Economics & Econometrics,Law,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Psychology,Civil Engineering,Other Health,Communication & Media Studies,Accounting & Finance,Architecture,Electrical & Electronic Engineering,Art, Performing Arts & Design,General Engineering,Sociology,Medicine & Dentistry",2023
Reporter,Kyiv National Economic University,,1000251,,0,,0,,0,,0,,0,Ukraine,"10,585",9.4,2%,"Psychology,Computer Science,Law,Sociology,Politics & International Studies (incl Development Studies),Geography,Accounting & Finance,Education,Economics & Econometrics,Business & Management",2023
Reporter,Kyoai Gakuen University,,1000252,,0,,0,,0,,0,,0,Japan,"1,089",19.4,4%,"Sport Science,Business & Management,History, Philosophy & Theology,Geography,Computer Science,Education,Archaeology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Sociology,Languages, Literature & Linguistics,Psychology,Mathematics & Statistics",2023
Reporter,Kyrgyz-Turkish Manas University,,1000253,,0,,0,,0,,0,,0,Kyrgyzstan,"5,448",14.5,17%,"Chemical Engineering,Education,Sociology,Business & Management,Electrical & Electronic Engineering,Veterinary Science,Accounting & Finance,General Engineering,Chemistry,Economics & Econometrics,Communication & Media Studies,Archaeology,Sport Science,Languages, Literature & Linguistics,Psychology,Computer Science,Politics & International Studies (incl Development Studies)",2023
Reporter,University of Laghouat,,1000254,,0,,0,,0,,0,,0,Algeria,"34,345",35.2,0%,"Other Health,Biological Sciences,Chemical Engineering,Politics & International Studies (incl Development Studies),Computer Science,Sport Science,Architecture,Mathematics & Statistics,Business & Management,Psychology,Civil Engineering,Electrical & Electronic Engineering,Communication & Media Studies,Accounting & Finance,Sociology,General Engineering,Law,Languages, Literature & Linguistics,Chemistry",2023
